gate_pack,id,algorithm,artifact_type,stage,owner,fault_family,baseline_status,expected_detector,deployable_action,strict_action
ca-certificate-profile,MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,ML-KEM,certificate,certificate/profile,ca-preissuance,profile/usage-policy,incomplete,detector.key_usage.mlkem_key_encipherment_only,block,block
ca-certificate-profile,MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,ML-DSA,certificate,certificate/profile,ca-preissuance,encoding/container,partial,detector.signature_algorithm.mldsa_parameters_absent,block,block
ca-certificate-profile,MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,ML-DSA,certificate,certificate/profile,ca-preissuance,profile/usage-policy,incomplete,detector.key_usage.mldsa_requires_signing_usage,block,block
ca-certificate-profile,MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,ML-DSA,certificate,certificate/profile,ca-preissuance,profile/usage-policy,covered-for-prohibited-bits,detector.key_usage.mldsa_forbid_encipherment_agreement,block,block
ca-certificate-profile,MLDSA-PKIX-HASHML-FORBIDDEN,ML-DSA,certificate,certificate/profile,ca-preissuance,algorithm-policy,gap,detector.algorithm_policy.hashml_dsa_forbidden,block,block
ca-spki-public-key,MLKEM-SPKI-AID-PARAMS-ABSENT,ML-KEM,spki,SPKI/public-key,ca-preissuance,encoding/container,partial,detector.algorithm_identifier.parameters_absent,block,block
ca-spki-public-key,MLKEM-SPKI-PUBLIC-KEY-LENGTH,ML-KEM,spki,SPKI/public-key,ca-preissuance,size/shape,covered-for-encoded-key,detector.spki.payload_length,block,block
ca-spki-public-key,MLKEM-SPKI-ENCODE-DECODE-IDENTITY,ML-KEM,spki,SPKI/public-key,ca-preissuance,field-domain,covered-by-external-lint-path,detector.mlkem.encode_decode_identity,warn,block
ca-spki-public-key,MLDSA-SPKI-AID-PARAMS-ABSENT,ML-DSA,spki,SPKI/public-key,ca-preissuance,encoding/container,partial,detector.algorithm_identifier.parameters_absent,block,block
ca-spki-public-key,MLDSA-SPKI-PUBLIC-KEY-LENGTH,ML-DSA,spki,SPKI/public-key,ca-preissuance,size/shape,gap-or-unverified,detector.spki.payload_length,block,block
import-private-key,MLKEM-PRIVATE-SEED-LENGTH,ML-KEM,private-key-container,private-key-container/import,artifact-importer,size/shape,gap,detector.private_key.mlkem_seed_length,block,block
import-private-key,MLKEM-PRIVATE-EXPANDED-LENGTH,ML-KEM,private-key-container,private-key-container/import,artifact-importer,size/shape,gap,detector.private_key.mlkem_expanded_length,block,block
import-private-key,MLKEM-PRIVATE-BOTH-CONSISTENCY,ML-KEM,private-key-container,private-key-container/import,artifact-importer,inter-field-consistency,gap,detector.private_key.mlkem_seed_expanded_consistency,block,block
import-private-key,MLKEM-PRIVATE-EXPANDED-HASH-CHECK,ML-KEM,private-key-container,private-key-container/import,artifact-importer,import-validation,gap,detector.private_key.mlkem_hash_check,block,block
import-private-key,MLDSA-PRIVATE-SEED-LENGTH,ML-DSA,private-key-container,private-key-container/import,artifact-importer,size/shape,gap,detector.private_key.mldsa_seed_length,block,block
import-private-key,MLDSA-PRIVATE-EXPANDED-LENGTH,ML-DSA,private-key-container,private-key-container/import,artifact-importer,size/shape,gap,detector.private_key.mldsa_expanded_length,block,block
import-private-key,MLDSA-PRIVATE-BOTH-CONSISTENCY,ML-DSA,private-key-container,private-key-container/import,artifact-importer,inter-field-consistency,gap,detector.private_key.mldsa_seed_expanded_consistency,block,block
